id,nome,mmr_atual,vitorias,derrotas,empates,created_at
254a280c-89aa-43f5-bb48-1d840734ab1a,Stiege,1215,3,2,0,2026-03-27 13:09:37.49615+00
48812744-5ad9-4ceb-8b05-8e00d8dda11a,canabarro,1200,0,0,0,2026-03-30 17:10:31.368998+00
4d51abd0-1cf0-446c-b3d1-a9aa1f465717,Luís Gustavo,1205,3,3,0,2026-03-30 18:07:50.519706+00
582d955c-f87c-4033-af0a-a695f1b926b7,Brizzi,1200,0,0,1,2026-03-30 16:52:39.803979+00
88cfbc8a-48c6-43f9-8bd9-57931de0203e,Baggio,1167,1,3,1,2026-03-27 13:24:02.252613+00
8bfc3125-9ea8-46d0-9a45-8047c62f7fab,Brisolla,1200,0,0,0,2026-03-27 13:08:07.027117+00
988f6361-9964-4e94-a96a-1f6e9dee366b,André,1213,2,1,0,2026-03-30 17:01:15.184633+00
b8e211cd-d130-4537-ae8c-0384d4b502b7,Thierry,1184,0,1,0,2026-03-27 13:06:12.794922+00
dd44b8b8-eceb-4104-9c50-f2ef32d4a977,Benelli,1216,1,0,0,2026-03-27 13:40:04.815288+00
